Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT5G03850	347.94874989504603	1.2173800988006644	0.2228668501828459	191.9208007384184	4.106863499154991e-31	6.517592373158971e-27
AT3G52590	565.8366879417799	1.175690207785262	0.23670026089476442	191.78717142287587	4.366509673993902e-31	6.929650852628323e-27
AT5G27700	400.5627435748286	1.3094404802907063	0.22569684794374834	190.15215928557336	9.24183725511827e-31	1.4666795723872695e-26
AT4G15000	257.96847501064985	1.5509606147550627	0.230649345230018	189.8241766061766	1.0741087074432655e-30	1.7046105187124624e-26
AT5G54630	79.07511459152263	-0.6592564792637355	0.49554486329524655	188.9545599030506	1.599961298010271e-30	2.5391385799423002e-26
AT3G49680	387.18559055500344	-1.1023635581556026	0.3386736048557301	188.16044528015664	2.3018784185814782e-30	3.653081050288806e-26
AT3G52930	401.01662049557507	2.1269389691461043	0.3018963999958066	187.38749680103956	3.2793417194990604e-30	5.204315308845008e-26
AT5G27850	438.2104427600146	1.6030957589511552	0.22608907998497446	187.24089761916343	3.5069702750735726e-30	5.56556182654176e-26
AT5G39740	249.03220990431635	1.3908348518342464	0.2606853022794375	186.73803589335307	4.414589203385179e-30	7.005953065772279e-26
AT3G07110	202.7108446756824	1.127794151591462	0.2581669908980725	185.91332097339046	6.438322967285059e-30	1.0217618549081389e-25
AT1G76810	381.2042130200689	-1.326218694858399	0.33059581959741013	185.48570121471244	7.829257595550475e-30	1.2425031804138602e-25
AT4G37830	312.5489245280424	1.5254050131976389	0.24329936450292092	185.17194426358287	9.037281069126512e-30	1.4342165056703774e-25
AT1G27030	83.12316736778705	-0.3604819183127623	0.4399065066081743	184.64502650149404	1.1499269659434084e-29	1.824934094952189e-25
AT1G67430	464.74855038352183	1.6023291032597462	0.25047606692085883	184.4926939396903	1.2328620721768272e-29	1.9565521085446247e-25
AT3G12965	1499.1963571593897	1.3180916369806122	0.39152827624628667	183.8320149023575	1.6674754613199602e-29	2.646283557114777e-25
AT1G29920	4291.715403998125	-2.493900771360728	0.4345012810432902	183.50642453702767	1.9349650785663078e-29	3.0707895796847306e-25
AT5G64940	327.7397924856025	-2.5444040404218677	0.34027104611142356	183.0866436857932	2.344030366374102e-29	3.7199761914356996e-25
AT3G49910	468.1622262209994	1.204478237456263	0.208757094707836	182.552548670114	2.991637781853907e-29	4.747729159802151e-25
AT3G15810	268.2767497936905	-0.8720983095372299	0.2991308350342187	182.25242760769675	3.4310718237574153e-29	5.445110984303018e-25
AT3G11510	253.05377903613083	1.1708596380289928	0.23539250725594674	181.4824250972846	4.876369591724312e-29	7.738798542066483e-25
AT4G36520	202.21364538436237	-2.801084714368627	0.49276093181641234	181.1372926653246	5.708283481814439e-29	9.059045885639516e-25
AT2G19730	191.52940769809294	1.9575766878292435	0.31417408853519013	180.44972275044495	7.811824516280278e-29	1.2397365507336802e-24
AT4G30650	358.8843321647158	1.4369013175685272	0.5115614215922375	180.13314434755102	9.025437327203802e-29	1.4323369038272434e-24
AT1G69620	405.5793564663419	1.0256407577612163	0.1990294253924866	180.1182890473499	9.086798711045435e-29	1.4420749554429106e-24
AT1G31580	257.24678255309294	-0.9590007824872456	0.626739747570829	180.11317926398806	9.108001383217122e-29	1.4454398195165572e-24
AT3G22230	192.24881203041846	1.668662911479376	0.2799915045146066	179.95038389282774	9.810005656266016e-29	1.5568478976494166e-24
AT1G66840	68.69551097906559	-3.1354260209925426	0.46725399210068486	179.68296318027694	1.1082388638682474e-28	1.7587750769589086e-24
AT2G45860	211.8914784984931	-1.4502153106090805	0.3575066950738833	179.21485642379184	1.3719123553633554e-28	2.177224907961645e-24
AT1G01490	327.59398775109895	-2.8178860766283407	0.3574080624753802	178.95251420004342	1.5461955813721982e-28	2.4538123876376786e-24
AT2G39460	488.66096383658095	0.9217289261836729	0.2116995938102745	178.6343804036378	1.7874678352986275e-28	2.836711454618922e-24
AT1G77940	362.187065276066	1.0421045399050115	0.2637121936513275	178.39378494739321	1.9946026123103143e-28	3.165434345736469e-24
AT5G59310	750.4987859434132	3.7740760518294394	1.0999113110554273	178.22038605846183	2.158595698901633e-28	3.4256913741568915e-24
AT3G02080	251.32770652459965	1.7193809604342352	0.2734615210019651	178.14441998365396	2.234619940385153e-28	3.546341845391238e-24
AT1G02780	773.9601820688073	0.9098536153149885	0.16751781487491413	178.1409165192665	2.2381898891722154e-28	3.5520073541163056e-24
AT3G52220	122.76386639881446	-1.9501209572630303	0.33905560790219763	178.07014612189266	2.3115355507698208e-28	3.6684069190717055e-24
AT1G20920	142.0555833481499	-2.298109238947788	0.44331629974043885	177.7723071581545	2.647459979070808e-28	4.2015189867853726e-24
AT4G24280	450.86820224868745	-1.2749182499149305	0.2530273864372166	177.3238911039948	3.2473766442747788e-28	5.153586734464074e-24
AT5G43560	112.26355918743593	-1.782635609650017	0.42130984110004954	177.08568320934978	3.6194690507645154e-28	5.744097383563286e-24
AT3G01060	59.954666602765634	-3.894226475619652	0.6177050684367905	175.62133824311638	7.048948621524063e-28	1.1186681462358688e-23
AT3G29075	144.50195001118638	-2.3200592444591344	0.41855879456490946	175.1151585333496	8.874299213628603e-28	1.4083512852028592e-23
AT1G60940	148.6744330157322	-1.2619243233782143	0.3490650277406391	175.03316846252926	9.211509462823959e-28	1.4618665517501623e-23
AT1G65440	253.09135307501748	-1.4619673452087825	0.35384268974861305	174.8771788731451	9.888803017407672e-28	1.5693530388625975e-23
AT3G61110	291.6460945415277	1.6214163164148765	0.2727719872173265	174.60754648846796	1.1178882020259457e-27	1.7740885766151758e-23
AT3G04840	391.32496791634486	1.3294302273395628	0.23257130852319777	174.1447020798671	1.3797333652700989e-27	2.189636850683647e-23
AT5G47930	204.50719376197753	1.19517552533186	0.26695850989467135	172.16201099484044	3.396567583557307e-27	5.390352755105446e-23
AT3G44010	355.81990035718695	0.9172617524109012	0.26874372117831535	170.83860175866357	6.1935527709059476e-27	9.829168247427739e-23
